token,sentiment,score
derisively,negative,-1
derisiveness,negative,-1
derogatory,negative,-1
desecrate,negative,-1
desert,negative,-1
desertion,negative,-1
deservedly,positive,1
deserving,positive,1
desiccate,negative,-1
desiccated,negative,-1
desirable,positive,1
desiring,positive,1
desirous,positive,1
desititute,negative,-1
desolate,negative,-1
desolately,negative,-1
desolation,negative,-1
despair,negative,-1
despairing,negative,-1
despairingly,negative,-1
desperate,negative,-1
desperately,negative,-1
desperation,negative,-1
despicable,negative,-1
despicably,negative,-1
despise,negative,-1
despised,negative,-1
despoil,negative,-1
despoiler,negative,-1
despondence,negative,-1
despondency,negative,-1
despondent,negative,-1
despondently,negative,-1
despot,negative,-1
despotic,negative,-1
despotism,negative,-1
destabilisation,negative,-1
destains,negative,-1
destiny,positive,1
destitute,negative,-1
destitution,negative,-1
destroy,negative,-1
destroyer,negative,-1
destruction,negative,-1
destructive,negative,-1
desultory,negative,-1
detachable,positive,1
deter,negative,-1
deteriorate,negative,-1
deteriorating,negative,-1
deterioration,negative,-1
deterrent,negative,-1
detest,negative,-1
detestable,negative,-1
detestably,negative,-1
detested,negative,-1
detesting,negative,-1
detests,negative,-1
detract,negative,-1
detracted,negative,-1
detracting,negative,-1
detraction,negative,-1
detracts,negative,-1
detriment,negative,-1
detrimental,negative,-1
devastate,negative,-1
devastated,negative,-1
devastates,negative,-1
devastating,negative,-1
devastatingly,negative,-1
devastation,negative,-1
deviate,negative,-1
deviation,negative,-1
devil,negative,-1
devilish,negative,-1
devilishly,negative,-1
devilment,negative,-1
devilry,negative,-1
devious,negative,-1
deviously,negative,-1
deviousness,negative,-1
devoid,negative,-1
devout,positive,1
dexterous,positive,1
dexterously,positive,1
dextrous,positive,1
diabolic,negative,-1
diabolical,negative,-1
diabolically,negative,-1
diametrically,negative,-1
diappointed,negative,-1
diatribe,negative,-1
diatribes,negative,-1
dick,negative,-1
dictator,negative,-1
dictatorial,negative,-1
die,negative,-1
die-hard,negative,-1
died,negative,-1
dies,negative,-1
difficult,negative,-1
difficulties,negative,-1
difficulty,negative,-1
diffidence,negative,-1
dignified,positive,1
dignify,positive,1
dignity,positive,1
dilapidated,negative,-1
dilemma,negative,-1
diligence,positive,1
diligent,positive,1
diligently,positive,1
dilly-dally,negative,-1
dim,negative,-1
dimmer,negative,-1
din,negative,-1
ding,negative,-1
dings,negative,-1
dinky,negative,-1
diplomatic,positive,1
dire,negative,-1
direly,negative,-1
direness,negative,-1
dirt,negative,-1
dirt-cheap,positive,1
dirtbag,negative,-1
dirtbags,negative,-1
dirts,negative,-1
dirty,negative,-1
disable,negative,-1
disabled,negative,-1
disaccord,negative,-1
disadvantage,negative,-1
disadvantaged,negative,-1
disadvantageous,negative,-1
disadvantages,negative,-1
disaffect,negative,-1
disaffected,negative,-1
disaffirm,negative,-1
disagree,negative,-1
disagreeable,negative,-1
disagreeably,negative,-1
disagreed,negative,-1
disagreeing,negative,-1
disagreement,negative,-1
disagrees,negative,-1
disallow,negative,-1
disapointed,negative,-1
disapointing,negative,-1
disapointment,negative,-1
disappoint,negative,-1
disappointed,negative,-1
disappointing,negative,-1
disappointingly,negative,-1
disappointment,negative,-1
disappointments,negative,-1
disappoints,negative,-1
disapprobation,negative,-1
disapproval,negative,-1
disapprove,negative,-1
disapproving,negative,-1
disarm,negative,-1
disarray,negative,-1
disaster,negative,-1
disasterous,negative,-1
disastrous,negative,-1
disastrously,negative,-1
disavow,negative,-1
disavowal,negative,-1
disbelief,negative,-1
disbelieve,negative,-1
disbeliever,negative,-1
disclaim,negative,-1
discombobulate,negative,-1
discomfit,negative,-1
discomfititure,negative,-1
discomfort,negative,-1
discompose,negative,-1
disconcert,negative,-1
disconcerted,negative,-1
disconcerting,negative,-1
disconcertingly,negative,-1
disconsolate,negative,-1
disconsolately,negative,-1
disconsolation,negative,-1
discontent,negative,-1
discontented,negative,-1
discontentedly,negative,-1
discontinued,negative,-1
discontinuity,negative,-1
discontinuous,negative,-1
discord,negative,-1
discordance,negative,-1
discordant,negative,-1
discountenance,negative,-1
discourage,negative,-1
discouragement,negative,-1
discouraging,negative,-1
discouragingly,negative,-1
discourteous,negative,-1
discourteously,negative,-1
discoutinous,negative,-1
discredit,negative,-1
discrepant,negative,-1
discriminate,negative,-1
discrimination,negative,-1
discriminatory,negative,-1
disdain,negative,-1
disdained,negative,-1
disdainful,negative,-1
disdainfully,negative,-1
disfavor,negative,-1
disgrace,negative,-1
disgraced,negative,-1
disgraceful,negative,-1
disgracefully,negative,-1
disgruntle,negative,-1
disgruntled,negative,-1
disgust,negative,-1
disgusted,negative,-1
disgustedly,negative,-1
disgustful,negative,-1
disgustfully,negative,-1
disgusting,negative,-1
disgustingly,negative,-1
dishearten,negative,-1
disheartening,negative,-1
dishearteningly,negative,-1
dishonest,negative,-1
dishonestly,negative,-1
dishonesty,negative,-1
dishonor,negative,-1
dishonorable,negative,-1
dishonorablely,negative,-1
disillusion,negative,-1
disillusioned,negative,-1
disillusionment,negative,-1
disillusions,negative,-1
disinclination,negative,-1
disinclined,negative,-1
disingenuous,negative,-1
disingenuously,negative,-1
disintegrate,negative,-1
disintegrated,negative,-1
disintegrates,negative,-1
disintegration,negative,-1
disinterest,negative,-1
disinterested,negative,-1
dislike,negative,-1
disliked,negative,-1
dislikes,negative,-1
disliking,negative,-1
dislocated,negative,-1
disloyal,negative,-1
disloyalty,negative,-1
dismal,negative,-1
dismally,negative,-1
dismalness,negative,-1
dismay,negative,-1
dismayed,negative,-1
dismaying,negative,-1
dismayingly,negative,-1
dismissive,negative,-1
dismissively,negative,-1
disobedience,negative,-1
disobedient,negative,-1
disobey,negative,-1
disoobedient,negative,-1
disorder,negative,-1
disordered,negative,-1
disorderly,negative,-1
disorganized,negative,-1
disorient,negative,-1
disoriented,negative,-1
disown,negative,-1
disparage,negative,-1
disparaging,negative,-1
disparagingly,negative,-1
dispensable,negative,-1
dispirit,negative,-1
dispirited,negative,-1
dispiritedly,negative,-1
dispiriting,negative,-1
displace,negative,-1
displaced,negative,-1
displease,negative,-1
displeased,negative,-1
displeasing,negative,-1
displeasure,negative,-1
disproportionate,negative,-1
disprove,negative,-1
disputable,negative,-1
dispute,negative,-1
disputed,negative,-1
disquiet,negative,-1
disquieting,negative,-1
disquietingly,negative,-1
disquietude,negative,-1
disregard,negative,-1
disregardful,negative,-1
disreputable,negative,-1
disrepute,negative,-1
disrespect,negative,-1
disrespectable,negative,-1
disrespectablity,negative,-1
disrespectful,negative,-1
disrespectfully,negative,-1
disrespectfulness,negative,-1
disrespecting,negative,-1
disrupt,negative,-1
disruption,negative,-1
disruptive,negative,-1
diss,negative,-1
dissapointed,negative,-1
dissappointed,negative,-1
dissappointing,negative,-1
dissatisfaction,negative,-1
dissatisfactory,negative,-1
dissatisfied,negative,-1
dissatisfies,negative,-1
dissatisfy,negative,-1
dissatisfying,negative,-1
dissed,negative,-1
dissemble,negative,-1
dissembler,negative,-1
dissension,negative,-1
dissent,negative,-1
dissenter,negative,-1
dissention,negative,-1
disservice,negative,-1
disses,negative,-1
dissidence,negative,-1
dissident,negative,-1
dissidents,negative,-1
dissing,negative,-1
dissocial,negative,-1
dissolute,negative,-1
dissolution,negative,-1
dissonance,negative,-1
dissonant,negative,-1
dissonantly,negative,-1
dissuade,negative,-1
dissuasive,negative,-1
distains,negative,-1
distaste,negative,-1
distasteful,negative,-1
distastefully,negative,-1
distinction,positive,1
distinctive,positive,1
distinguished,positive,1
distort,negative,-1
distorted,negative,-1
distortion,negative,-1
distorts,negative,-1
distract,negative,-1
distracting,negative,-1
distraction,negative,-1
distraught,negative,-1
distraughtly,negative,-1
distraughtness,negative,-1
distress,negative,-1
distressed,negative,-1
distressing,negative,-1
distressingly,negative,-1
distrust,negative,-1
distrustful,negative,-1
distrusting,negative,-1
disturb,negative,-1
disturbance,negative,-1
disturbed,negative,-1
disturbing,negative,-1
disturbingly,negative,-1
disunity,negative,-1
disvalue,negative,-1
divergent,negative,-1
diversified,positive,1
divine,positive,1
divinely,positive,1
divisive,negative,-1
divisively,negative,-1
divisiveness,negative,-1
dizzing,negative,-1
dizzingly,negative,-1
dizzy,negative,-1
doddering,negative,-1
dodgey,negative,-1
dogged,negative,-1
doggedly,negative,-1
dogmatic,negative,-1
doldrums,negative,-1
dominate,positive,1
dominated,positive,1
dominates,positive,1
domineer,negative,-1
domineering,negative,-1
donside,negative,-1
doom,negative,-1
doomed,negative,-1
doomsday,negative,-1
dope,negative,-1
dote,positive,1
dotingly,positive,1
doubt,negative,-1
doubtful,negative,-1
doubtfully,negative,-1
doubtless,positive,1
doubts,negative,-1
douchbag,negative,-1
douchebag,negative,-1
douchebags,negative,-1
downbeat,negative,-1
downcast,negative,-1
downer,negative,-1
downfall,negative,-1
downfallen,negative,-1
downgrade,negative,-1
downhearted,negative,-1
downheartedly,negative,-1
downhill,negative,-1
downside,negative,-1
downsides,negative,-1
downturn,negative,-1
downturns,negative,-1
drab,negative,-1
draconian,negative,-1
draconic,negative,-1
drag,negative,-1
dragged,negative,-1
dragging,negative,-1
dragoon,negative,-1
drags,negative,-1
drain,negative,-1
drained,negative,-1
draining,negative,-1
drains,negative,-1
drastic,negative,-1
drastically,negative,-1
drawback,negative,-1
drawbacks,negative,-1
dread,negative,-1
dreadful,negative,-1
dreadfully,negative,-1
dreadfulness,negative,-1
dreamland,positive,1
dreary,negative,-1
dripped,negative,-1
dripping,negative,-1
drippy,negative,-1
drips,negative,-1
drones,negative,-1
droop,negative,-1
droops,negative,-1
drop-out,negative,-1
drop-outs,negative,-1
dropout,negative,-1
dropouts,negative,-1
drought,negative,-1
drowning,negative,-1
drunk,negative,-1
drunkard,negative,-1
drunken,negative,-1
dubious,negative,-1
dubiously,negative,-1
dubitable,negative,-1
dud,negative,-1
dull,negative,-1
dullard,negative,-1
dumb,negative,-1
dumbfound,negative,-1
dumbfounded,positive,1
dumbfounding,positive,1
dummy-proof,positive,1
dump,negative,-1
dumped,negative,-1
dumping,negative,-1
dumps,negative,-1
dunce,negative,-1
dungeon,negative,-1
dungeons,negative,-1
dupe,negative,-1
durable,positive,1
dust,negative,-1
dusty,negative,-1
dwindling,negative,-1
dying,negative,-1
dynamic,positive,1
eager,positive,1
eagerly,positive,1
eagerness,positive,1
earnest,positive,1
earnestly,positive,1
earnestness,positive,1
earsplitting,negative,-1
ease,positive,1
eased,positive,1
eases,positive,1
easier,positive,1
easiest,positive,1
easiness,positive,1
easing,positive,1
easy,positive,1
easy-to-use,positive,1
easygoing,positive,1
ebullience,positive,1
ebullient,positive,1
ebulliently,positive,1
eccentric,negative,-1
eccentricity,negative,-1
ecenomical,positive,1
economical,positive,1
ecstasies,positive,1
ecstasy,positive,1
ecstatic,positive,1
ecstatically,positive,1
edify,positive,1
educated,positive,1
effective,positive,1
effectively,positive,1
effectiveness,positive,1
effectual,positive,1
efficacious,positive,1
efficient,positive,1
efficiently,positive,1
effigy,negative,-1
effortless,positive,1
effortlessly,positive,1
effrontery,negative,-1
effusion,positive,1
effusive,positive,1
effusively,positive,1
effusiveness,positive,1
egocentric,negative,-1
egomania,negative,-1
egotism,negative,-1
egotistical,negative,-1
egotistically,negative,-1
egregious,negative,-1
egregiously,negative,-1
elan,positive,1
elate,positive,1
elated,positive,1
elatedly,positive,1
elation,positive,1
election-rigger,negative,-1
electrify,positive,1
elegance,positive,1
elegant,positive,1
elegantly,positive,1
elevate,positive,1
elimination,negative,-1
elite,positive,1
eloquence,positive,1
eloquent,positive,1
eloquently,positive,1
emaciated,negative,-1
emasculate,negative,-1
embarrass,negative,-1
embarrassing,negative,-1
embarrassingly,negative,-1
embarrassment,negative,-1
embattled,negative,-1
embolden,positive,1
embroil,negative,-1
embroiled,negative,-1
embroilment,negative,-1
emergency,negative,-1
eminence,positive,1
eminent,positive,1
empathize,positive,1
empathy,positive,1
emphatic,negative,-1
emphatically,negative,-1
empower,positive,1
empowerment,positive,1
emptiness,negative,-1
enchant,positive,1
enchanted,positive,1
enchanting,positive,1
enchantingly,positive,1
encourage,positive,1
encouragement,positive,1
encouraging,positive,1
encouragingly,positive,1
encroach,negative,-1
encroachment,negative,-1
endanger,negative,-1
endear,positive,1
endearing,positive,1
endorse,positive,1
endorsed,positive,1
endorsement,positive,1
endorses,positive,1
endorsing,positive,1
enemies,negative,-1
enemy,negative,-1
energetic,positive,1
energize,positive,1
energy-efficient,positive,1
energy-saving,positive,1
enervate,negative,-1
enfeeble,negative,-1
enflame,negative,-1
engaging,positive,1
engrossing,positive,1
engulf,negative,-1
enhance,positive,1
enhanced,positive,1
enhancement,positive,1
enhances,positive,1
enjoin,negative,-1
enjoy,positive,1
enjoyable,positive,1
enjoyably,positive,1
enjoyed,positive,1
enjoying,positive,1
enjoyment,positive,1
enjoys,positive,1
enlighten,positive,1
enlightenment,positive,1
enliven,positive,1
enmity,negative,-1
ennoble,positive,1
enough,positive,1
enrage,negative,-1
enraged,negative,-1
enraging,negative,-1
enrapt,positive,1
enrapture,positive,1
enraptured,positive,1
enrich,positive,1
enrichment,positive,1
enslave,negative,-1
entangle,negative,-1
entanglement,negative,-1
enterprising,positive,1
entertain,positive,1
entertaining,positive,1
entertains,positive,1
enthral,positive,1
enthrall,positive,1
enthralled,positive,1
enthuse,positive,1
enthusiasm,positive,1
enthusiast,positive,1
enthusiastic,positive,1
enthusiastically,positive,1
entice,positive,1
enticed,positive,1
enticing,positive,1
enticingly,positive,1
entranced,positive,1
entrancing,positive,1
entrap,negative,-1
entrapment,negative,-1
entrust,positive,1
enviable,positive,1
enviably,positive,1
envious,positive,1
envious,negative,-1
enviously,positive,1
enviously,negative,-1
enviousness,positive,1
enviousness,negative,-1
envy,positive,1
epidemic,negative,-1
equitable,positive,1
equivocal,negative,-1
erase,negative,-1
ergonomical,positive,1
erode,negative,-1
erodes,negative,-1
erosion,negative,-1
err,negative,-1
err-free,positive,1
errant,negative,-1
erratic,negative,-1
erratically,negative,-1
erroneous,negative,-1
erroneously,negative,-1
error,negative,-1
errors,negative,-1
erudite,positive,1
eruptions,negative,-1
escapade,negative,-1
eschew,negative,-1
estranged,negative,-1
ethical,positive,1
eulogize,positive,1
euphoria,positive,1
euphoric,positive,1
euphorically,positive,1
evade,negative,-1
evaluative,positive,1
evasion,negative,-1
evasive,negative,-1
evenly,positive,1
eventful,positive,1
everlasting,positive,1
evil,negative,-1
evildoer,negative,-1
evils,negative,-1
eviscerate,negative,-1
evocative,positive,1
exacerbate,negative,-1
exagerate,negative,-1
exagerated,negative,-1
exagerates,negative,-1
exaggerate,negative,-1
exaggeration,negative,-1
exalt,positive,1
exaltation,positive,1
exalted,positive,1
exaltedly,positive,1
exalting,positive,1
exaltingly,positive,1
examplar,positive,1
examplary,positive,1
exasperate,negative,-1
exasperated,negative,-1
exasperating,negative,-1
exasperatingly,negative,-1
exasperation,negative,-1
excallent,positive,1
exceed,positive,1
exceeded,positive,1
exceeding,positive,1
exceedingly,positive,1
exceeds,positive,1
excel,positive,1
exceled,positive,1
excelent,positive,1
excellant,positive,1
excelled,positive,1
excellence,positive,1
excellency,positive,1
excellent,positive,1
excellently,positive,1
excels,positive,1
exceptional,positive,1
exceptionally,positive,1
excessive,negative,-1
excessively,negative,-1
excite,positive,1
excited,positive,1
excitedly,positive,1
excitedness,positive,1
excitement,positive,1
excites,positive,1
exciting,positive,1
excitingly,positive,1
exclusion,negative,-1
excoriate,negative,-1
excruciating,negative,-1
excruciatingly,negative,-1
excuse,negative,-1
excuses,negative,-1
execrate,negative,-1
exellent,positive,1
exemplar,positive,1
exemplary,positive,1
exhaust,negative,-1
exhausted,negative,-1
exhaustion,negative,-1
exhausts,negative,-1
exhilarate,positive,1
exhilarating,positive,1
exhilaratingly,positive,1
exhilaration,positive,1
exhorbitant,negative,-1
exhort,negative,-1
exile,negative,-1
exonerate,positive,1
exorbitant,negative,-1
exorbitantance,negative,-1
exorbitantly,negative,-1
expansive,positive,1
expeditiously,positive,1
expel,negative,-1
expensive,negative,-1
expertly,positive,1
expire,negative,-1
expired,negative,-1
explode,negative,-1
exploit,negative,-1
exploitation,negative,-1
explosive,negative,-1
expropriate,negative,-1
expropriation,negative,-1
expulse,negative,-1
expunge,negative,-1
exquisite,positive,1
exquisitely,positive,1
exterminate,negative,-1
extermination,negative,-1
extinguish,negative,-1
extol,positive,1
extoll,positive,1
extort,negative,-1
extortion,negative,-1
extraneous,negative,-1
extraordinarily,positive,1
extraordinary,positive,1
extravagance,negative,-1
extravagant,negative,-1
extravagantly,negative,-1
extremism,negative,-1
extremist,negative,-1
extremists,negative,-1
exuberance,positive,1
exuberant,positive,1
exuberantly,positive,1
exult,positive,1
exultant,positive,1
exultation,positive,1
exultingly,positive,1
eye-catch,positive,1
eye-catching,positive,1
eyecatch,positive,1
eyecatching,positive,1
eyesore,negative,-1
f**k,negative,-1
fabricate,negative,-1
fabrication,negative,-1
fabulous,positive,1
fabulously,positive,1
facetious,negative,-1
facetiously,negative,-1
facilitate,positive,1
fail,negative,-1
failed,negative,-1
failing,negative,-1
fails,negative,-1
failure,negative,-1
failures,negative,-1
faint,negative,-1
fainthearted,negative,-1
fair,positive,1
fairly,positive,1
fairness,positive,1
faith,positive,1
faithful,positive,1
faithfully,positive,1
faithfulness,positive,1
faithless,negative,-1
fake,negative,-1
fall,negative,-1
fallacies,negative,-1
fallacious,negative,-1
fallaciously,negative,-1
fallaciousness,negative,-1
fallacy,negative,-1
fallen,negative,-1
falling,negative,-1
fallout,negative,-1
falls,negative,-1
false,negative,-1
falsehood,negative,-1
falsely,negative,-1
falsify,negative,-1
falter,negative,-1
faltered,negative,-1
fame,positive,1
famed,positive,1
famine,negative,-1
famished,negative,-1
famous,positive,1
famously,positive,1
fanatic,negative,-1
fanatical,negative,-1
fanatically,negative,-1
fanaticism,negative,-1
fanatics,negative,-1
fancier,positive,1
fanciful,negative,-1
fancinating,positive,1
fancy,positive,1
fanfare,positive,1
fans,positive,1
fantastic,positive,1
fantastically,positive,1
far-fetched,negative,-1
farce,negative,-1
farcical,negative,-1
farcical-yet-provocative,negative,-1
farcically,negative,-1
farfetched,negative,-1
fascinate,positive,1
fascinating,positive,1
fascinatingly,positive,1
fascination,positive,1
fascism,negative,-1
fascist,negative,-1
fashionable,positive,1
fashionably,positive,1
fast,positive,1
fast-growing,positive,1
fast-paced,positive,1
faster,positive,1
fastest,positive,1
fastest-growing,positive,1
fastidious,negative,-1
fastidiously,negative,-1
fastuous,negative,-1
fat,negative,-1
fat-cat,negative,-1
fat-cats,negative,-1
fatal,negative,-1
fatalistic,negative,-1
fatalistically,negative,-1
fatally,negative,-1
fatcat,negative,-1
fatcats,negative,-1
fateful,negative,-1
fatefully,negative,-1
fathomless,negative,-1
fatigue,negative,-1
fatigued,negative,-1
fatique,negative,-1
fatty,negative,-1
fatuity,negative,-1
fatuous,negative,-1
fatuously,negative,-1
fault,negative,-1
faultless,positive,1
faults,negative,-1
faulty,negative,-1
fav,positive,1
fave,positive,1
favor,positive,1
favorable,positive,1
favored,positive,1
favorite,positive,1
favorited,positive,1
favour,positive,1
fawningly,negative,-1
faze,negative,-1
fear,negative,-1
fearful,negative,-1
fearfully,negative,-1
fearless,positive,1
fearlessly,positive,1
fears,negative,-1
fearsome,negative,-1
feasible,positive,1
feasibly,positive,1
feat,positive,1
feature-rich,positive,1
fecilitous,positive,1
feckless,negative,-1
feeble,negative,-1
feeblely,negative,-1
feebleminded,negative,-1
feign,negative,-1
feint,negative,-1
feisty,positive,1
felicitate,positive,1
felicitous,positive,1
felicity,positive,1
fell,negative,-1
felon,negative,-1
felonious,negative,-1
ferociously,negative,-1
ferocity,negative,-1
fertile,positive,1
fervent,positive,1
fervently,positive,1
fervid,positive,1
fervidly,positive,1
fervor,positive,1
festive,positive,1
fetid,negative,-1
fever,negative,-1
feverish,negative,-1
fevers,negative,-1
fiasco,negative,-1
fib,negative,-1
fibber,negative,-1
fickle,negative,-1
fiction,negative,-1
fictional,negative,-1
fictitious,negative,-1
fidelity,positive,1
fidget,negative,-1
fidgety,negative,-1
fiend,negative,-1
fiendish,negative,-1
fierce,negative,-1
fiery,positive,1
figurehead,negative,-1
filth,negative,-1
filthy,negative,-1
finagle,negative,-1
fine,positive,1
fine-looking,positive,1
finely,positive,1
finer,positive,1
finest,positive,1
finicky,negative,-1
firmer,positive,1
first-class,positive,1
first-in-class,positive,1
first-rate,positive,1
fissures,negative,-1
fist,negative,-1
flabbergast,negative,-1
flabbergasted,negative,-1
flagging,negative,-1
flagrant,negative,-1
flagrantly,negative,-1
flair,negative,-1
flairs,negative,-1
flak,negative,-1
flake,negative,-1
flakey,negative,-1
flakieness,negative,-1
flaking,negative,-1
flaky,negative,-1
flare,negative,-1
flares,negative,-1
flareup,negative,-1
flareups,negative,-1
flashy,positive,1
flat-out,negative,-1
flatter,positive,1
flattering,positive,1
flatteringly,positive,1
flaunt,negative,-1
flaw,negative,-1
flawed,negative,-1
flawless,positive,1
flawlessly,positive,1
flaws,negative,-1
flee,negative,-1
fleed,negative,-1
fleeing,negative,-1
fleer,negative,-1
flees,negative,-1
fleeting,negative,-1
flexibility,positive,1
flexible,positive,1
flicering,negative,-1
flicker,negative,-1
flickering,negative,-1
flickers,negative,-1
flighty,negative,-1
flimflam,negative,-1
flimsy,negative,-1
flirt,negative,-1
flirty,negative,-1
floored,negative,-1
flounder,negative,-1
floundering,negative,-1
flourish,positive,1
flourishing,positive,1
flout,negative,-1
fluent,positive,1
fluster,negative,-1
flutter,positive,1
foe,negative,-1
fond,positive,1
fondly,positive,1
fondness,positive,1
fool,negative,-1
fooled,negative,-1
foolhardy,negative,-1
foolish,negative,-1
foolishly,negative,-1
foolishness,negative,-1
foolproof,positive,1
forbid,negative,-1
forbidden,negative,-1
forbidding,negative,-1
forceful,negative,-1
foreboding,negative,-1
forebodingly,negative,-1
foremost,positive,1
foresight,positive,1
forfeit,negative,-1
forged,negative,-1
forgetful,negative,-1
forgetfully,negative,-1
forgetfulness,negative,-1
forlorn,negative,-1
forlornly,negative,-1
formidable,positive,1
forsake,negative,-1
forsaken,negative,-1
forswear,negative,-1
fortitude,positive,1
fortuitous,positive,1
fortuitously,positive,1
fortunate,positive,1
fortunately,positive,1
fortune,positive,1
foul,negative,-1
foully,negative,-1
foulness,negative,-1
fractious,negative,-1
fractiously,negative,-1
fracture,negative,-1
fragile,negative,-1
fragmented,negative,-1
fragrant,positive,1
frail,negative,-1
frantic,negative,-1
frantically,negative,-1
franticly,negative,-1
fraud,negative,-1
fraudulent,negative,-1
fraught,negative,-1
frazzle,negative,-1
frazzled,negative,-1
freak,negative,-1
freaking,negative,-1
freakish,negative,-1
freakishly,negative,-1
freaks,negative,-1
free,positive,1
freed,positive,1
freedom,positive,1
freedoms,positive,1
freeze,negative,-1
freezes,negative,-1
freezing,negative,-1
frenetic,negative,-1
frenetically,negative,-1
frenzied,negative,-1
frenzy,negative,-1
fresh,positive,1
fresher,positive,1
freshest,positive,1
fret,negative,-1
fretful,negative,-1
frets,negative,-1
friction,negative,-1
frictions,negative,-1
fried,negative,-1
friendliness,positive,1
friendly,positive,1
friggin,negative,-1
frigging,negative,-1
fright,negative,-1
frighten,negative,-1
frightening,negative,-1
frighteningly,negative,-1
frightful,negative,-1
frightfully,negative,-1
frigid,negative,-1
frolic,positive,1
frost,negative,-1
frown,negative,-1
froze,negative,-1
frozen,negative,-1
frugal,positive,1
fruitful,positive,1
fruitless,negative,-1
fruitlessly,negative,-1
frustrate,negative,-1
frustrated,negative,-1
frustrates,negative,-1
frustrating,negative,-1
frustratingly,negative,-1
frustration,negative,-1
frustrations,negative,-1
ftw,positive,1
fuck,negative,-1
fucking,negative,-1
fudge,negative,-1
fugitive,negative,-1
fulfillment,positive,1
full-blown,negative,-1
fulminate,negative,-1
fumble,negative,-1
fume,negative,-1
fumes,negative,-1
fun,positive,1
fundamentalism,negative,-1
funky,negative,-1
funnily,negative,-1
funny,negative,-1
furious,negative,-1
furiously,negative,-1
furor,negative,-1
fury,negative,-1
fuss,negative,-1
fussy,negative,-1
fustigate,negative,-1
fusty,negative,-1
futile,negative,-1
futilely,negative,-1
futility,negative,-1
futurestic,positive,1
futuristic,positive,1
fuzzy,negative,-1
gabble,negative,-1
gaff,negative,-1
gaffe,negative,-1
gaiety,positive,1
gaily,positive,1
gain,positive,1
gained,positive,1
gainful,positive,1
gainfully,positive,1
gaining,positive,1
gains,positive,1
gainsay,negative,-1
gainsayer,negative,-1
gall,negative,-1
gallant,positive,1
gallantly,positive,1
galling,negative,-1
gallingly,negative,-1
galls,negative,-1
galore,positive,1
gangster,negative,-1
gape,negative,-1
garbage,negative,-1
garish,negative,-1
gasp,negative,-1
gauche,negative,-1
gaudy,negative,-1
gawk,negative,-1
gawky,negative,-1
geekier,positive,1
geeky,positive,1
geezer,negative,-1
gem,positive,1
gems,positive,1
generosity,positive,1
generous,positive,1
generously,positive,1
genial,positive,1
genius,positive,1
genocide,negative,-1
gentle,positive,1
gentlest,positive,1
genuine,positive,1
get-rich,negative,-1
ghastly,negative,-1
ghetto,negative,-1
ghosting,negative,-1
gibber,negative,-1
gibberish,negative,-1
gibe,negative,-1
giddy,negative,-1
gifted,positive,1
gimmick,negative,-1
gimmicked,negative,-1
gimmicking,negative,-1
gimmicks,negative,-1
gimmicky,negative,-1
glad,positive,1
gladden,positive,1
gladly,positive,1
gladness,positive,1
glamorous,positive,1
glare,negative,-1
glaringly,negative,-1
glee,positive,1
gleeful,positive,1
gleefully,positive,1
glib,negative,-1
glibly,negative,-1
glimmer,positive,1
glimmering,positive,1
glisten,positive,1
glistening,positive,1
glitch,negative,-1
glitches,negative,-1
glitter,positive,1
glitz,positive,1
gloatingly,negative,-1
gloom,negative,-1
gloomy,negative,-1
glorify,positive,1
glorious,positive,1
gloriously,positive,1
glory,positive,1
glow,positive,1
glower,negative,-1
glowing,positive,1
glowingly,positive,1
glum,negative,-1
glut,negative,-1
gnawing,negative,-1
goad,negative,-1
goading,negative,-1
god-awful,negative,-1
god-given,positive,1
god-send,positive,1
godlike,positive,1
godsend,positive,1
gold,positive,1
golden,positive,1
good,positive,1
goodly,positive,1
goodness,positive,1
goodwill,positive,1
goof,negative,-1
goofy,negative,-1
goon,negative,-1
goood,positive,1
gooood,positive,1
gorgeous,positive,1
gorgeously,positive,1
gossip,negative,-1
grace,positive,1
graceful,positive,1
gracefully,positive,1
graceless,negative,-1
gracelessly,negative,-1
gracious,positive,1
graciously,positive,1
graciousness,positive,1
graft,negative,-1
grainy,negative,-1
grand,positive,1
grandeur,positive,1
grapple,negative,-1
grate,negative,-1
grateful,positive,1
gratefully,positive,1
gratification,positive,1
gratified,positive,1
gratifies,positive,1
gratify,positive,1
gratifying,positive,1
gratifyingly,positive,1
grating,negative,-1
gratitude,positive,1
gravely,negative,-1
greasy,negative,-1
great,positive,1
greatest,positive,1
greatness,positive,1
greed,negative,-1
greedy,negative,-1
grief,negative,-1
grievance,negative,-1
grievances,negative,-1
grieve,negative,-1
grieving,negative,-1
grievous,negative,-1
grievously,negative,-1
grim,negative,-1
grimace,negative,-1
grin,positive,1
grind,negative,-1
gripe,negative,-1
gripes,negative,-1
grisly,negative,-1
gritty,negative,-1
gross,negative,-1
grossly,negative,-1
grotesque,negative,-1
grouch,negative,-1
grouchy,negative,-1
groundbreaking,positive,1
groundless,negative,-1
grouse,negative,-1
growl,negative,-1
grudge,negative,-1
grudges,negative,-1
grudging,negative,-1
grudgingly,negative,-1
gruesome,negative,-1
gruesomely,negative,-1
gruff,negative,-1
grumble,negative,-1
grumpier,negative,-1
grumpiest,negative,-1
grumpily,negative,-1
grumpish,negative,-1
grumpy,negative,-1
guarantee,positive,1
guidance,positive,1
guile,negative,-1
guilt,negative,-1
